hhid,year,country,region,wealth_raw,water_source,water_minutes_raw,head_age_raw,head_sex,electricity,floor_material,wall_material,bednets_raw,positive_rate,sampled_member_count
01000049,2014,Lumen,Region 2,2238,protected well,47,57,male,1,cement,finished,4,0.500000,2
01000050,2014,Lumen,Region 3,8631,protected well,24,48,male,1,cement,finished,2,0.333333,3
01000051,2014,Lumen,Region 4,-80754,"river, dam, lake, pond, stream, canal or irrigation channel",37,50,male,0,dirt,natural,3,0.500000,4
01000052,2014,Lumen,Region 1,-74121,public tap,43,65,male,0,dirt,natural,1,0.000000,1
01000053,2014,Lumen,Region 2,54951,public tap,38,56,male,1,cement,finished,2,0.000000,2
01000054,2014,Lumen,Region 3,-68614,protected well,37,58,male,0,dirt,natural,2,0.666667,3
01000055,2014,Lumen,Region 4,110145,unprotected well,39,46,male,1,cement,finished,3,0.500000,4
01000056,2014,Lumen,Region 1,-8794,protected well,39,52,male,1,cement,finished,2,0.000000,1
01000057,2014,Lumen,Region 2,-112679,protected well,17,29,male,0,dirt,natural,1,1.000000,2
01000058,2014,Lumen,Region 3,-119938,public tap,46,29,male,0,dirt,natural,1,0.666667,3
01000059,2014,Lumen,Region 4,55346,public tap,32,34,male,1,cement,finished,4,0.250000,4
01000060,2014,Lumen,Region 1,-162312,public tap,18,59,female,0,dirt,natural,2,1.000000,1
01000061,2014,Lumen,Region 2,-40445,protected well,16,40,male,0,dirt,finished,3,0.500000,2
01000062,2014,Lumen,Region 3,-24037,"river, dam, lake, pond, stream, canal or irrigation channel",29,44,male,1,cement,finished,2,1.000000,3
01000063,2014,Lumen,Region 4,176514,public tap,33,30,male,1,cement,finished,2,0.000000,4
01000064,2014,Lumen,Region 1,-87934,public tap,37,69,female,0,dirt,natural,2,0.000000,1
01000065,2014,Lumen,Region 2,-20497,unprotected well,28,26,male,0,cement,finished,0,0.500000,2
01000066,2014,Lumen,Region 3,-50426,"river, dam, lake, pond, stream, canal or irrigation channel",44,25,female,1,dirt,natural,2,0.666667,3
01000067,2014,Lumen,Region 4,-149602,public tap,,34,male,0,dirt,natural,1,0.750000,4
01000068,2014,Lumen,Region 1,-197649,unprotected well,50,61,male,0,dirt,natural,1,1.000000,1
01000069,2014,Lumen,Region 2,-115138,"river, dam, lake, pond, stream, canal or irrigation channel",55,49,female,0,dirt,natural,2,0.500000,2
01000070,2014,Lumen,Region 3,114205,protected well,28,67,male,1,cement,finished,2,0.000000,3
01000071,2014,Lumen,Region 4,-79221,protected well,55,49,male,0,dirt,natural,1,0.500000,4
01000072,2014,Lumen,Region 1,-19821,unprotected well,25,39,male,1,cement,finished,2,1.000000,1
01000073,2014,Lumen,Region 2,-117848,public tap,23,20,female,0,dirt,natural,3,1.000000,2
01000074,2014,Lumen,Region 3,-55644,unprotected well,47,39,male,0,dirt,natural,3,0.000000,3
01000075,2014,Lumen,Region 4,10544,unprotected well,23,56,female,0,cement,finished,3,0.500000,4
01000076,2014,Lumen,Region 1,55524,piped on premises,996,55,female,1,cement,finished,3,0.000000,1
01000077,2014,Lumen,Region 2,-108842,protected well,7,42,male,0,dirt,natural,4,0.500000,2
01000078,2014,Lumen,Region 3,92805,public tap,37,47,male,1,cement,finished,2,0.000000,3
01000079,2014,Lumen,Region 4,-116331,protected well,49,55,male,0,dirt,natural,2,0.500000,4
01000080,2014,Lumen,Region 1,71750,piped on premises,996,24,male,1,cement,finished,2,1.000000,1
01000081,2014,Lumen,Region 2,74819,protected well,33,53,male,1,cement,finished,2,0.000000,2
01000082,2014,Lumen,Region 3,-5413,public tap,998,35,male,0,cement,finished,3,1.000000,3
01000083,2014,Lumen,Region 4,81728,public tap,1,55,male,1,cement,finished,1,0.000000,4
01000084,2014,Lumen,Region 1,-161833,unprotected well,25,43,male,0,dirt,natural,2,0.000000,1
01000085,2014,Lumen,Region 2,-63072,public tap,51,38,male,0,dirt,natural,3,0.000000,2
01000086,2014,Lumen,Region 3,3401,"river, dam, lake, pond, stream, canal or irrigation channel",32,47,female,1,cement,finished,3,0.333333,3
01000087,2014,Lumen,Region 4,-237733,protected well,32,66,male,0,dirt,natural,2,0.750000,4
01000088,2014,Lumen,Region 1,76026,protected well,16,68,male,1,cement,finished,1,1.000000,1
01000089,2014,Lumen,Region 2,13833,public tap,34,98,female,1,cement,finished,0,0.000000,2
01000090,2014,Lumen,Region 3,-70219,"river, dam, lake, pond, stream, canal or irrigation channel",25,45,male,0,dirt,natural,3,0.333333,3
01000091,2014,Lumen,Region 4,194193,public tap,26,50,male,1,cement,finished,4,0.000000,4
01000092,2014,Lumen,Region 1,-127334,unprotected well,53,64,female,0,dirt,natural,3,1.000000,1
01000093,2014,Lumen,Region 2,63064,"river, dam, lake, pond, stream, canal or irrigation channel",23,35,male,1,cement,finished,2,0.500000,2
01000094,2014,Lumen,Region 3,29101,piped on premises,996,28,male,1,cement,finished,3,0.000000,3
01000095,2014,Lumen,Region 4,-136098,"river, dam, lake, pond, stream, canal or irrigation channel",41,25,male,0,dirt,natural,2,0.500000,4
01000096,2014,Lumen,Region 1,68212,piped on premises,996,27,male,1,cement,finished,3,1.000000,1
01000097,2014,Lumen,Region 2,23263,unprotected well,23,48,male,1,cement,finished,2,0.500000,2
01000098,2014,Lumen,Region 3,-108036,public tap,25,79,male,0,dirt,natural,2,0.333333,3
01000099,2014,Lumen,Region 4,-91660,"river, dam, lake, pond, stream, canal or irrigation channel",39,56,male,0,dirt,natural,2,0.250000,4
01000100,2014,Lumen,Region 1,53657,piped on premises,996,56,male,1,cement,finished,3,0.000000,1
01000101,2014,Lumen,Region 2,-69717,protected well,19,49,male,0,dirt,natural,1,0.000000,2
01000102,2014,Lumen,Region 3,-27068,unprotected well,39,49,male,1,cement,finished,0,0.333333,3
01000103,2014,Lumen,Region 4,65384,piped on premises,996,73,male,0,cement,finished,3,0.250000,4
01000104,2014,Lumen,Region 1,38339,piped on premises,996,53,male,1,cement,finished,2,0.000000,1
01000105,2014,Lumen,Region 2,145,piped on premises,996,60,male,0,cement,finished,3,1.000000,2
01000106,2014,Lumen,Region 3,-195306,"river, dam, lake, pond, stream, canal or irrigation channel",36,55,male,0,dirt,natural,3,0.666667,3
01000107,2014,Lumen,Region 4,-606,"river, dam, lake, pond, stream, canal or irrigation channel",35,66,male,1,cement,finished,1,1.000000,4
01000108,2014,Lumen,Region 1,-62636,"river, dam, lake, pond, stream, canal or irrigation channel",27,62,male,0,dirt,natural,0,1.000000,1
01000109,2014,Lumen,Region 2,-61568,"river, dam, lake, pond, stream, canal or irrigation channel",15,45,male,0,dirt,natural,2,0.500000,2
01000110,2014,Lumen,Region 3,-142922,"river, dam, lake, pond, stream, canal or irrigation channel",34,50,male,0,dirt,natural,1,0.333333,3
01000111,2014,Lumen,Region 4,-22028,protected well,20,48,male,0,cement,finished,2,0.000000,4
01000112,2014,Lumen,Region 1,79134,protected well,31,57,male,1,cement,finished,3,0.000000,1
01000113,2014,Lumen,Region 2,-129876,"river, dam, lake, pond, stream, canal or irrigation channel",25,42,male,0,dirty,natural,3,0.000000,2
01000114,2014,Lumen,Region 3,-54568,"river, dam, lake, pond, stream, canal or irrigation channel",40,43,male,1,dirt,natural,4,0.666667,3
01000115,2014,Lumen,Region 4,-86529,piped on premises,996,68,male,0,dirt,natural,1,0.500000,4
01000116,2014,Lumen,Region 1,-179102,protected well,21,59,male,0,dirt,natural,1,1.000000,1
01000117,2014,Lumen,Region 2,-31485,unprotected well,51,32,male,0,dirt,finished,2,0.000000,2
01000118,2014,Lumen,Region 3,-28945,"river, dam, lake, pond, stream, canal or irrigation channel",39,78,male,0,cement,finished,2,0.333333,3
01000119,2014,Lumen,Region 4,-138556,protected well,9,44,male,0,dirt,natural,3,0.500000,4
01000120,2014,Lumen,Region 1,50700,piped on premises,996,37,male,0,cement,finished,3,0.000000,1
01000121,2014,Lumen,Region 2,9987,protected well,18,55,male,0,cement,finished,2,0.500000,2
01000122,2014,Lumen,Region 3,-180186,protected well,47,52,male,0,dirt,natural,4,0.333333,3
01000123,2014,Lumen,Region 4,-89350,protected well,998,52,male,0,dirt,natural,3,0.750000,4
01000124,2014,Lumen,Region 1,-13012,piped on premises,996,52,male,1,cement,finished,3,1.000000,1
01000125,2014,Lumen,Region 2,-25056,public tap,30,74,male,0,cement,finished,2,0.500000,2
01000126,2014,Lumen,Region 3,-36110,protected well,4,64,male,0,dirt,finished,3,0.000000,3
01000127,2014,Lumen,Region 4,51331,"river, dam, lake, pond, stream, canal or irrigation channel",18,53,male,1,cement,finished,3,0.250000,4
01000128,2014,Lumen,Region 1,41671,piped on premises,996,47,male,0,cement,finished,3,0.000000,1
01000129,2014,Lumen,Region 2,48042,protected well,23,28,male,1,cement,finished,2,0.000000,2
01000130,2014,Lumen,Region 3,19722,"river, dam, lake, pond, stream, canal or irrigation channel",29,59,male,1,cement,finished,1,0.333333,3
01000131,2014,Lumen,Region 4,-56795,public tap,29,7,male,0,dirt,natural,2,0.500000,4
01000132,2014,Lumen,Region 1,4146,protected well,21,46,male,1,cement,finished,2,0.000000,1
01000133,2014,Lumen,Region 2,-143801,public tap,27,50,male,0,dirt,natural,1,0.500000,2
01000134,2014,Lumen,Region 3,-139977,public tap,,36,male,0,dirt,natural,2,0.666667,3
01000135,2014,Lumen,Region 4,-12280,piped on premises,996,40,male,0,cement,finished,1,0.250000,4
01000136,2014,Lumen,Region 1,-106440,protected well,44,37,male,0,dirt,natural,2,0.000000,1
01000137,2014,Lumen,Region 2,173891,public tap,12,59,male,1,cement,finished,3,0.000000,2
01000138,2014,Lumen,Region 3,-124004,protected well,60,40,female,0,dirt,natural,2,0.666667,3
01000139,2014,Lumen,Region 4,-200848,"river, dam, lake, pond, stream, canal or irrigation channel",31,60,male,0,dirt,natural,2,0.500000,4
01000140,2014,Lumen,Region 1,-94188,"river, dam, lake, pond, stream, canal or irrigation channel",44,31,male,0,dirt,natural,2,0.000000,1
01000141,2014,Lumen,Region 2,-144948,unprotected well,7,48,male,0,dirt,natural,3,0.000000,2
01000142,2014,Lumen,Region 3,30270,protected well,24,49,female,1,cement,finished,2,0.333333,3
01000143,2014,Lumen,Region 4,-79987,unprotected well,58,46,male,0,dirt,natural,2,0.750000,4
01000144,2014,Lumen,Region 1,-52707,public tap,12,34,male,0,dirt,natural,3,1.000000,1
01000145,2014,Lumen,Region 2,-1952,piped on premises,996,47,male,1,cement,finished,2,0.000000,2
01000146,2014,Lumen,Region 3,-20348,public tap,16,35,male,1,cement,finished,1,0.000000,3
01000147,2014,Lumen,Region 4,13193,protected well,17,48,male,0,cement,finished,4,0.250000,4
01000148,2014,Lumen,Region 1,-208005,"river, dam, lake, pond, stream, canal or irrigation channel",38,32,male,0,dirt,natural,2,1.000000,1
01000149,2014,Lumen,Region 2,59431,protected well,17,58,male,1,cement,finished,3,0.000000,2
01000150,2014,Lumen,Region 3,-66265,public tap,35,43,male,1,dirt,natural,2,0.666667,3
01000151,2014,Lumen,Region 4,-62496,"river, dam, lake, pond, stream, canal or irrigation channel",33,23,male,0,dirt,natural,2,0.250000,4
01000152,2014,Lumen,Region 1,-39326,protected well,46,40,male,1,dirt,finished,1,0.000000,1
01000153,2014,Lumen,Region 2,108171,unprotected well,25,36,male,1,cement,finished,3,0.000000,2
01000154,2014,Lumen,Region 3,-28583,unprotected well,50,38,male,0,cement,finished,5,0.333333,3
01000155,2014,Lumen,Region 4,-34252,protected well,43,54,male,0,dirt,finished,3,0.250000,4
01000156,2014,Lumen,Region 1,103387,piped on premises,996,49,male,1,cement,finished,1,0.000000,1
01000157,2014,Lumen,Region 2,-102835,"river, dam, lake, pond, stream, canal or irrigation channel",50,60,female,0,dirt,natural,-99,0.000000,2
01000158,2014,Lumen,Region 3,57665,protected well,31,27,male,1,cement,finished,3,0.000000,3
01000159,2014,Lumen,Region 4,105399,piped on premises,996,48,male,1,cement,finished,2,0.250000,4
01000160,2014,Lumen,Region 1,-196488,unprotected well,34,45,male,0,dirt,natural,2,1.000000,1
01000161,2014,Lumen,Region 2,-6709,unprotected well,31,64,male,0,cement,finished,0,0.500000,2
01000162,2014,Lumen,Region 3,67774,piped on premises,996,52,male,0,cement,finished,3,0.000000,3
01000163,2014,Lumen,Region 4,-66211,public tap,31,73,male,0,dirt,natural,2,0.000000,4
01000164,2014,Lumen,Region 1,-58089,"river, dam, lake, pond, stream, canal or irrigation channel",998,35,male,0,dirt,natural,2,0.000000,1
01000165,2014,Lumen,Region 2,27905,public tap,40,52,male,1,cement,finished,2,0.000000,2
01000166,2014,Lumen,Region 3,92650,protected well,31,63,male,1,cement,finished,3,0.000000,3
01000167,2014,Lumen,Region 4,-119082,"river, dam, lake, pond, stream, canal or irrigation channel",37,46,female,0,dirt,natural,1,0.500000,4
01000168,2014,Lumen,Region 1,-29562,piped on premises,996,58,male,0,cement,finished,2,0.000000,1
01000169,2014,Lumen,Region 2,56493,piped on premises,996,65,male,1,cement,finished,1,0.500000,2
01000170,2014,Lumen,Region 3,52354,"river, dam, lake, pond, stream, canal or irrigation channel",21,49,female,0,cement,finished,3,0.333333,3
01000171,2014,Lumen,Region 4,168182,unprotected well,27,23,male,1,cement,finished,1,0.000000,4
01000172,2014,Lumen,Region 1,-3494,"river, dam, lake, pond, stream, canal or irrigation channel",19,46,male,1,cement,finished,0,1.000000,1
01000173,2014,Lumen,Region 2,-81748,public tap,37,30,male,0,dirt,natural,3,1.000000,2
01000174,2014,Lumen,Region 3,19424,unprotected well,36,30,male,1,cement,finished,2,0.333333,3
01000175,2014,Lumen,Region 4,-78380,public tap,29,81,male,0,dirt,natural,2,0.750000,4
01000176,2014,Lumen,Region 1,73247,public tap,28,56,male,1,cement,finished,3,1.000000,1
01000177,2014,Lumen,Region 2,214039,piped on premises,996,86,female,1,cement,finished,2,0.000000,2
01000178,2014,Lumen,Region 3,84104,unprotected well,41,98,male,1,cement,finished,2,0.333333,3
01000179,2014,Lumen,Region 4,12224,protected well,22,51,male,0,cement,finished,2,0.250000,4
01000180,2014,Lumen,Region 1,-217087,"river, dam, lake, pond, stream, canal or irrigation channel",36,32,female,0,dirt,natural,2,1.000000,1
01000181,2014,Lumen,Region 2,-90739,"river, dam, lake, pond, stream, canal or irrigation channel",24,50,male,0,dirt,natural,2,0.500000,2
01000182,2014,Lumen,Region 3,-24174,unprotected well,33,60,female,0,cement,finished,2,0.000000,3
01000183,2014,Lumen,Region 4,44021,unprotected well,35,44,male,1,cement,finished,3,0.250000,4
01000184,2014,Lumen,Region 1,-91969,"river, dam, lake, pond, stream, canal or irrigation channel",36,27,male,0,dirt,natural,1,1.000000,1
01000185,2014,Lumen,Region 2,-104624,"river, dam, lake, pond, stream, canal or irrigation channel",41,42,male,0,dirt,natural,2,0.500000,2
01000186,2014,Lumen,Region 3,-168793,"river, dam, lake, pond, stream, canal or irrigation channel",23,44,male,0,dirt,natural,4,0.333333,3
01000187,2014,Lumen,Region 4,-209864,"river, dam, lake, pond, stream, canal or irrigation channel",36,58,female,0,dirt,natural,4,1.000000,4
01000188,2014,Lumen,Region 1,-10042,public tap,42,51,male,1,cement,finished,1,1.000000,1
01000189,2014,Lumen,Region 2,-54105,"river, dam, lake, pond, stream, canal or irrigation channel",41,26,male,0,dirt,natural,1,0.000000,2
01000190,2014,Lumen,Region 3,-24856,protected well,19,24,female,0,cement,finished,3,1.000000,3
01000191,2014,Lumen,Region 4,-10695,piped on premises,996,51,female,1,cement,finished,1,0.250000,4
01000192,2014,Lumen,Region 1,-36932,protected well,53,46,male,0,dirt,finished,2,0.000000,1
01000193,2014,Lumen,Region 2,-77727,piped on premises,996,73,male,0,dirt,natural,1,0.500000,2
01000194,2014,Lumen,Region 3,-2233,"river, dam, lake, pond, stream, canal or irrigation channel",40,44,male,1,cement,finished,4,0.333333,3
01000195,2014,Lumen,Region 4,-170076,"river, dam, lake, pond, stream, canal or irrigation channel",18,43,male,0,dirt,natural,2,0.500000,4
01000196,2014,Lumen,Region 1,-17505,unprotected well,32,30,male,0,cement,finished,2,0.000000,1
01000197,2014,Lumen,Region 2,-99208,"river, dam, lake, pond, stream, canal or irrigation channel",32,64,male,0,dirt,natural,2,0.000000,2
01000198,2014,Lumen,Region 3,20491,unprotected well,47,54,male,1,cement,finished,1,0.666667,3
01000199,2014,Lumen,Region 4,-95832,"river, dam, lake, pond, stream, canal or irrigation channel",27,56,male,0,dirt,natural,2,0.500000,4
01000200,2014,Lumen,Region 1,-88516,"river, dam, lake, pond, stream, canal or irrigation channel",23,62,male,0,dirt,natural,3,1.000000,1
01000201,2014,Lumen,Region 2,-67039,"river, dam, lake, pond, stream, canal or irrigation channel",,48,male,0,dirt,natural,1,0.000000,2
01000202,2014,Lumen,Region 3,4150,unprotected well,32,59,male,0,cement,finished,3,0.333333,3
01000203,2014,Lumen,Region 4,-2771,"river, dam, lake, pond, stream, canal or irrigation channel",14,39,male,1,cement,finished,2,0.500000,4
01000204,2014,Lumen,Region 1,27456,public tap,23,41,female,1,cement,finished,1,0.000000,1
01000205,2014,Lumen,Region 2,-73484,"river, dam, lake, pond, stream, canal or irrigation channel",998,52,male,0,dirt,natural,2,0.500000,2
01000206,2014,Lumen,Region 3,48533,"river, dam, lake, pond, stream, canal or irrigation channel",13,60,male,1,cement,finished,2,0.333333,3
01000207,2014,Lumen,Region 4,-183914,public tap,21,25,male,0,dirt,natural,3,0.750000,4
01000208,2014,Lumen,Region 1,-109149,protected well,38,55,female,0,dirt,natural,2,1.000000,1
01000209,2014,Lumen,Region 2,28024,protected well,36,35,male,0,cement,finished,3,0.000000,2
01000210,2014,Lumen,Region 3,-17782,protected well,17,57,male,1,cement,finished,2,0.000000,3
01000211,2014,Lumen,Region 4,-53242,piped on premises,996,59,male,0,dirt,natural,3,0.500000,4
01000212,2014,Lumen,Region 1,-86133,public tap,46,59,female,0,dirt,natural,2,0.000000,1
01000213,2014,Lumen,Region 2,116727,protected well,11,55,male,1,cement,finished,1,0.000000,2
01000214,2014,Lumen,Region 3,-92175,public tap,53,23,male,0,dirt,natural,2,0.333333,3
01000215,2014,Lumen,Region 4,-161130,"river, dam, lake, pond, stream, canal or irrigation channel",43,41,male,0,dirt,natural,2,1.000000,4
01000216,2014,Lumen,Region 1,-304915,"river, dam, lake, pond, stream, canal or irrigation channel",60,63,male,0,dirt,natural,1,1.000000,1
01000217,2014,Lumen,Region 2,27310,protected well,17,33,male,0,cement,finished,2,0.000000,2
01000218,2014,Lumen,Region 3,59353,unprotected well,22,32,male,1,cement,finished,4,0.000000,3
01000219,2014,Lumen,Region 4,86612,unprotected well,27,18,male,1,cement,finished,3,0.000000,4
01000220,2014,Lumen,Region 1,-128415,protected well,29,37,female,0,dirt,natural,2,0.000000,1
01000221,2014,Lumen,Region 2,94025,unprotected well,45,40,male,1,cement,finished,4,0.500000,2
01000222,2014,Lumen,Region 3,116031,piped on premises,996,61,male,1,cement,finished,3,0.000000,3
01000223,2014,Lumen,Region 4,52094,protected well,7,56,male,1,cement,finished,1,0.250000,4
01000224,2014,Lumen,Region 1,51003,public tap,11,39,male,1,cement,finished,1,1.000000,1
01000225,2014,Lumen,Region 2,72703,piped on premises,996,46,male,1,cement,finished,1,0.500000,2
01000226,2014,Lumen,Region 3,-71522,public tap,52,62,male,0,dirty,natural,2,0.000000,3
01000227,2014,Lumen,Region 4,-175282,"river, dam, lake, pond, stream, canal or irrigation channel",55,59,male,0,dirt,natural,2,0.750000,4
01000228,2014,Lumen,Region 1,29803,unprotected well,21,62,female,0,cement,finished,3,1.000000,1
01000229,2014,Lumen,Region 2,76245,protected well,18,30,male,1,cement,finished,2,0.000000,2
01000230,2014,Lumen,Region 3,-39258,protected well,20,48,female,0,dirt,finished,2,0.000000,3
01000231,2014,Lumen,Region 4,-66942,protected well,18,18,male,0,dirt,natural,1,0.250000,4
01000232,2014,Lumen,Region 1,83549,unprotected well,24,58,female,1,cement,finished,2,0.000000,1
01000233,2014,Lumen,Region 2,-11327,"river, dam, lake, pond, stream, canal or irrigation channel",43,63,male,1,cement,finished,3,1.000000,2
01000234,2014,Lumen,Region 3,-36413,public tap,37,47,male,0,dirt,finished,3,0.333333,3
01000235,2014,Lumen,Region 4,-31267,unprotected well,47,30,male,1,dirt,finished,3,0.750000,4
01000236,2014,Lumen,Region 1,-121524,unprotected well,20,60,male,0,dirt,natural,2,1.000000,1
01000237,2014,Lumen,Region 2,45476,piped on premises,996,61,male,0,cement,finished,1,0.000000,2
01000238,2014,Lumen,Region 3,-57040,"river, dam, lake, pond, stream, canal or irrigation channel",58,42,male,0,dirt,natural,3,0.666667,3
01000239,2014,Lumen,Region 4,36686,piped on premises,996,72,male,1,cement,finished,2,0.250000,4
01000240,2014,Lumen,Region 1,64844,piped on premises,996,31,male,1,cement,finished,2,0.000000,1
01000241,2014,Lumen,Region 2,90781,unprotected well,30,28,female,1,cement,finished,2,0.500000,2
01000242,2014,Lumen,Region 3,-55388,protected well,37,51,female,0,dirt,natural,3,0.333333,3
01000243,2014,Lumen,Region 4,8213,"river, dam, lake, pond, stream, canal or irrigation channel",46,47,male,0,cement,finished,4,0.000000,4
01000244,2014,Lumen,Region 1,27543,protected well,32,44,male,1,cement,finished,1,1.000000,1
01000245,2014,Lumen,Region 2,-57303,piped on premises,996,38,male,0,dirt,natural,1,1.000000,2
01000246,2014,Lumen,Region 3,-118456,"river, dam, lake, pond, stream, canal or irrigation channel",998,47,male,0,dirt,natural,3,0.333333,3
01000247,2014,Lumen,Region 4,125607,piped on premises,996,69,male,1,cement,finished,2,0.000000,4
01000248,2014,Lumen,Region 1,11124,unprotected well,15,52,male,0,cement,finished,4,0.000000,1
01000249,2014,Lumen,Region 2,-79797,unprotected well,4,46,male,0,dirt,natural,2,0.000000,2
01000250,2014,Lumen,Region 3,-23467,public tap,36,55,male,0,cement,finished,3,0.000000,3
01000251,2014,Lumen,Region 4,-1380,protected well,26,42,male,1,cement,finished,1,0.000000,4
01000252,2014,Lumen,Region 1,53813,piped on premises,996,28,male,1,cement,finished,3,0.000000,1
01000253,2014,Lumen,Region 2,-58066,public tap,29,57,female,0,dirt,natural,0,1.000000,2
01000254,2014,Lumen,Region 3,-215387,public tap,45,45,female,0,dirt,natural,2,0.000000,3
01000255,2014,Lumen,Region 4,37911,"river, dam, lake, pond, stream, canal or irrigation channel",26,38,male,1,cement,finished,1,0.000000,4
01000256,2014,Lumen,Region 1,-119827,public tap,33,51,male,0,dirt,natural,0,1.000000,1
01000257,2014,Lumen,Region 2,56225,protected well,18,42,male,0,cement,finished,2,0.000000,2
