hhid,year,country,region,wealth_raw,water_source,water_minutes_raw,head_age_raw,head_sex,electricity,floor_material,wall_material,bednets_raw,positive_rate,sampled_member_count
   04000020,2018,Lumen,Region 1,-122020,"river, dam, lake, pond, stream, canal or irrigation channel",23,37,male,0,dirt,natural,3,,
   04000021,2018,Lumen,Region 2,92842,protected well,27,58,male,1,cement,finished,2,,
   04000022,2018,Lumen,Region 3,74413,public tap,26,68,male,1,cement,finished,1,,
   04000023,2018,Lumen,Region 4,-85034,"river, dam, lake, pond, stream, canal or irrigation channel",43,57,male,0,dirt,natural,2,,
   04000024,2018,Lumen,Region 1,-2402,"river, dam, lake, pond, stream, canal or irrigation channel",18,56,male,0,cement,finished,1,,
   04000025,2018,Lumen,Region 2,-44526,"river, dam, lake, pond, stream, canal or irrigation channel",28,43,male,0,dirt,finished,2,,
   04000026,2018,Lumen,Region 3,-48682,unprotected well,40,51,male,0,dirt,natural,1,,
   04000027,2018,Lumen,Region 4,182293,piped on premises,996,58,male,1,cement,finished,2,,
   04000028,2018,Lumen,Region 1,-14475,protected well,21,54,female,0,cement,finished,2,,
   04000029,2018,Lumen,Region 2,96974,protected well,45,59,male,1,cement,finished,2,,
   04000030,2018,Lumen,Region 3,8972,"river, dam, lake, pond, stream, canal or irrigation channel",17,61,male,1,cement,finished,1,,
   04000031,2018,Lumen,Region 4,-81843,"river, dam, lake, pond, stream, canal or irrigation channel",42,48,female,0,dirt,natural,3,,
   04000032,2018,Lumen,Region 1,62204,public tap,31,40,male,1,cement,finished,3,,
   04000033,2018,Lumen,Region 2,9023,piped on premises,996,69,male,1,cement,finished,2,,
   04000034,2018,Lumen,Region 3,-14470,piped on premises,996,49,male,0,cement,finished,4,,
   04000035,2018,Lumen,Region 4,-34240,public tap,33,46,male,1,dirt,finished,1,,
   04000036,2018,Lumen,Region 1,-93420,protected well,34,31,male,0,dirt,natural,2,,
   04000037,2018,Lumen,Region 2,-67391,"river, dam, lake, pond, stream, canal or irrigation channel",17,52,male,0,dirt,natural,0,,
   04000038,2018,Lumen,Region 3,64601,piped on premises,996,33,male,1,cement,finished,3,,
   04000039,2018,Lumen,Region 4,-13783,piped on premises,996,38,male,0,cement,finished,2,,
   04000040,2018,Lumen,Region 1,36237,piped on premises,996,52,male,1,cement,finished,1,,
   04000041,2018,Lumen,Region 2,-75473,unprotected well,998,73,female,0,dirt,natural,3,,
   04000042,2018,Lumen,Region 3,-69624,unprotected well,36,71,male,0,dirt,natural,3,,
   04000043,2018,Lumen,Region 4,96596,unprotected well,25,51,male,1,cement,finished,2,,
   04000044,2018,Lumen,Region 1,-158803,"river, dam, lake, pond, stream, canal or irrigation channel",62,34,male,0,dirt,natural,2,,
   04000045,2018,Lumen,Region 2,33894,public tap,15,51,male,0,cement,finished,3,,
   04000046,2018,Lumen,Region 3,-132576,unprotected well,56,31,male,0,dirt,natural,3,,
   04000047,2018,Lumen,Region 4,-45561,protected well,29,41,male,0,dirt,natural,2,,
   04000048,2018,Lumen,Region 1,56946,piped on premises,996,45,male,1,cement,finished,3,,
   04000049,2018,Lumen,Region 2,-35001,protected well,39,27,male,0,dirt,finished,3,,
   04000050,2018,Lumen,Region 3,103486,piped on premises,996,41,male,1,cement,finished,4,,
   04000051,2018,Lumen,Region 4,40000,protected well,33,31,male,1,cement,finished,3,,
   04000052,2018,Lumen,Region 1,4293,public tap,21,35,male,1,cement,finished,1,,
   04000053,2018,Lumen,Region 2,36863,piped on premises,996,48,male,1,cement,finished,2,,
   04000054,2018,Lumen,Region 3,25082,"river, dam, lake, pond, stream, canal or irrigation channel",40,29,male,0,cement,finished,3,,
   04000055,2018,Lumen,Region 4,-12987,protected well,29,51,male,0,cement,finished,2,,
   04000056,2018,Lumen,Region 1,12397,unprotected well,34,42,male,0,cement,finished,4,,
   04000057,2018,Lumen,Region 2,-24364,piped on premises,996,60,male,0,cement,finished,2,,
   04000058,2018,Lumen,Region 3,-33227,public tap,37,62,male,1,dirt,finished,3,,
   04000059,2018,Lumen,Region 4,166213,piped on premises,996,58,male,1,cement,finished,2,,
   04000060,2018,Lumen,Region 1,448,piped on premises,996,43,male,0,cement,finished,2,,
   04000061,2018,Lumen,Region 2,66464,protected well,24,22,male,1,cement,finished,1,,
   04000062,2018,Lumen,Region 3,8589,protected well,19,53,male,0,cement,finished,1,,
   04000063,2018,Lumen,Region 4,102359,protected well,15,54,male,1,cement,finished,2,,
   04000064,2018,Lumen,Region 1,-65405,"river, dam, lake, pond, stream, canal or irrigation channel",47,34,male,0,dirt,natural,0,,
   04000065,2018,Lumen,Region 2,-39121,piped on premises,996,38,female,0,dirt,finished,4,,
   04000066,2018,Lumen,Region 3,31612,piped on premises,996,55,male,1,cement,finished,2,,
   04000067,2018,Lumen,Region 4,16430,"river, dam, lake, pond, stream, canal or irrigation channel",,72,male,1,cement,finished,3,,
   04000068,2018,Lumen,Region 1,-104665,public tap,26,33,male,0,dirt,natural,2,,
   04000069,2018,Lumen,Region 2,72859,public tap,31,35,male,1,cement,finished,1,,
   04000070,2018,Lumen,Region 3,75536,public tap,13,42,male,1,cement,finished,2,,
   04000071,2018,Lumen,Region 4,-59865,"river, dam, lake, pond, stream, canal or irrigation channel",29,52,male,0,dirt,natural,2,,
   04000072,2018,Lumen,Region 1,-57404,protected well,31,44,male,0,dirt,natural,3,,
   04000073,2018,Lumen,Region 2,-30815,public tap,43,47,male,0,dirt,finished,3,,
   04000074,2018,Lumen,Region 3,131262,piped on premises,996,46,female,1,cement,finished,3,,
   04000075,2018,Lumen,Region 4,33388,public tap,31,35,female,1,cement,finished,1,,
   04000076,2018,Lumen,Region 1,54209,public tap,27,47,male,1,cement,finished,4,,
   04000077,2018,Lumen,Region 2,70956,piped on premises,996,32,male,1,cement,finished,2,,
   04000078,2018,Lumen,Region 3,-15887,piped on premises,996,52,male,0,cement,finished,2,,
   04000079,2018,Lumen,Region 4,51648,protected well,30,45,male,1,cement,finished,2,,
   04000080,2018,Lumen,Region 1,26339,protected well,27,55,male,1,cement,finished,2,,
   04000081,2018,Lumen,Region 2,-105639,public tap,45,78,male,0,dirt,natural,3,,
   04000082,2018,Lumen,Region 3,58213,public tap,998,18,male,0,cement,finished,1,,
   04000083,2018,Lumen,Region 4,-62373,public tap,29,32,male,0,dirt,natural,3,,
   04000084,2018,Lumen,Region 1,5487,"river, dam, lake, pond, stream, canal or irrigation channel",24,35,male,1,cement,finished,1,,
   04000085,2018,Lumen,Region 2,11138,"river, dam, lake, pond, stream, canal or irrigation channel",16,44,male,0,cement,finished,1,,
   04000086,2018,Lumen,Region 3,-26853,protected well,27,45,male,0,cement,finished,1,,
   04000087,2018,Lumen,Region 4,-162185,"river, dam, lake, pond, stream, canal or irrigation channel",56,29,male,0,dirt,natural,2,,
   04000088,2018,Lumen,Region 1,123896,unprotected well,45,62,male,1,cement,finished,2,,
   04000089,2018,Lumen,Region 2,-30996,protected well,11,98,female,0,dirt,finished,1,,
   04000090,2018,Lumen,Region 3,-132454,protected well,24,40,male,0,dirt,natural,3,,
   04000091,2018,Lumen,Region 4,-140396,"river, dam, lake, pond, stream, canal or irrigation channel",16,61,male,0,dirt,natural,1,,
   04000092,2018,Lumen,Region 1,-106068,"river, dam, lake, pond, stream, canal or irrigation channel",11,31,male,0,dirt,natural,1,,
   04000093,2018,Lumen,Region 2,76317,piped on premises,996,24,female,1,cement,finished,2,,
   04000094,2018,Lumen,Region 3,43206,public tap,22,18,male,1,cement,finished,3,,
   04000095,2018,Lumen,Region 4,42752,public tap,28,31,male,1,cement,finished,1,,
   04000096,2018,Lumen,Region 1,75218,piped on premises,996,40,male,1,cement,finished,1,,
   04000097,2018,Lumen,Region 2,-147545,public tap,35,68,male,0,dirt,natural,0,,
   04000098,2018,Lumen,Region 3,-80367,piped on premises,996,52,male,0,dirt,natural,3,,
   04000099,2018,Lumen,Region 4,115702,piped on premises,996,54,male,1,cement,finished,1,,
   04000100,2018,Lumen,Region 1,-29755,piped on premises,996,45,male,1,cement,finished,1,,
   04000101,2018,Lumen,Region 2,-52277,public tap,22,21,male,0,dirt,natural,3,,
   04000102,2018,Lumen,Region 3,-110724,public tap,39,27,male,0,dirt,natural,2,,
   04000103,2018,Lumen,Region 4,-40000,public tap,33,28,male,0,dirt,finished,3,,
   04000104,2018,Lumen,Region 1,-27981,unprotected well,46,61,male,1,cement,finished,2,,
   04000105,2018,Lumen,Region 2,19063,piped on premises,996,52,male,1,cement,finished,1,,
   04000106,2018,Lumen,Region 3,103190,piped on premises,996,58,male,1,cement,finished,3,,
   04000107,2018,Lumen,Region 4,36481,piped on premises,996,60,male,1,cement,finished,2,,
   04000108,2018,Lumen,Region 1,137530,piped on premises,996,46,male,1,cement,finished,3,,
   04000109,2018,Lumen,Region 2,26768,"river, dam, lake, pond, stream, canal or irrigation channel",40,46,male,1,cement,finished,4,,
   04000110,2018,Lumen,Region 3,-132816,"river, dam, lake, pond, stream, canal or irrigation channel",38,43,male,0,dirt,natural,3,,
   04000111,2018,Lumen,Region 4,6998,protected well,22,42,male,1,cement,finished,3,,
   04000112,2018,Lumen,Region 1,-143158,public tap,28,51,female,0,dirt,natural,3,,
   04000113,2018,Lumen,Region 2,-39067,"river, dam, lake, pond, stream, canal or irrigation channel",24,28,male,0,dirty,finished,1,,
   04000114,2018,Lumen,Region 3,63945,protected well,20,58,male,1,cement,finished,4,,
   04000115,2018,Lumen,Region 4,-77647,public tap,51,37,male,1,dirt,natural,2,,
   04000116,2018,Lumen,Region 1,117502,piped on premises,996,32,male,1,cement,finished,3,,
   04000117,2018,Lumen,Region 2,-143531,unprotected well,31,71,male,0,dirt,natural,3,,
   04000118,2018,Lumen,Region 3,-8823,piped on premises,996,40,male,0,cement,finished,2,,
   04000119,2018,Lumen,Region 4,28385,piped on premises,996,68,male,1,cement,finished,2,,
   04000120,2018,Lumen,Region 1,33489,protected well,40,60,female,1,cement,finished,2,,
   04000121,2018,Lumen,Region 2,93579,protected well,32,47,male,1,cement,finished,2,,
   04000122,2018,Lumen,Region 3,-15050,protected well,18,37,male,1,cement,finished,4,,
   04000123,2018,Lumen,Region 4,22105,piped on premises,998,50,male,1,cement,finished,1,,
   04000124,2018,Lumen,Region 1,-189309,protected well,38,78,male,0,dirt,natural,3,,
   04000125,2018,Lumen,Region 2,107070,protected well,16,33,male,1,cement,finished,3,,
   04000126,2018,Lumen,Region 3,-27494,unprotected well,30,38,male,0,cement,finished,2,,
   04000127,2018,Lumen,Region 4,121269,public tap,36,45,male,1,cement,finished,4,,
   04000128,2018,Lumen,Region 1,-16809,unprotected well,30,54,male,0,cement,finished,1,,
   04000129,2018,Lumen,Region 2,-18792,protected well,45,24,male,0,cement,finished,3,,
   04000130,2018,Lumen,Region 3,53174,unprotected well,1,50,male,1,cement,finished,3,,
   04000131,2018,Lumen,Region 4,52921,piped on premises,996,7,male,1,cement,finished,2,,
   04000132,2018,Lumen,Region 1,40141,public tap,23,50,female,1,cement,finished,5,,
   04000133,2018,Lumen,Region 2,93350,protected well,32,37,male,1,cement,finished,2,,
   04000134,2018,Lumen,Region 3,-233513,unprotected well,,31,female,0,dirt,natural,3,,
   04000135,2018,Lumen,Region 4,99495,piped on premises,996,34,male,1,cement,finished,1,,
   04000136,2018,Lumen,Region 1,54125,"river, dam, lake, pond, stream, canal or irrigation channel",13,53,male,1,cement,finished,1,,
   04000137,2018,Lumen,Region 2,142493,piped on premises,996,45,male,1,cement,finished,1,,
   04000138,2018,Lumen,Region 3,-16510,unprotected well,22,39,male,1,cement,finished,1,,
   04000139,2018,Lumen,Region 4,-49115,public tap,22,49,male,0,dirt,natural,0,,
   04000140,2018,Lumen,Region 1,48320,public tap,39,46,male,1,cement,finished,1,,
   04000141,2018,Lumen,Region 2,-225868,"river, dam, lake, pond, stream, canal or irrigation channel",43,70,male,0,dirt,natural,3,,
   04000142,2018,Lumen,Region 3,-34755,protected well,40,32,male,0,dirt,finished,4,,
   04000143,2018,Lumen,Region 4,117340,public tap,20,41,male,1,cement,finished,0,,
   04000144,2018,Lumen,Region 1,22979,public tap,34,18,male,1,cement,finished,1,,
   04000145,2018,Lumen,Region 2,172482,piped on premises,996,51,male,1,cement,finished,1,,
   04000146,2018,Lumen,Region 3,31430,protected well,21,75,male,1,cement,finished,2,,
   04000147,2018,Lumen,Region 4,-21392,public tap,26,60,female,0,cement,finished,3,,
   04000148,2018,Lumen,Region 1,-116164,"river, dam, lake, pond, stream, canal or irrigation channel",55,52,male,0,dirt,natural,3,,
   04000149,2018,Lumen,Region 2,-37620,protected well,36,26,male,0,dirt,finished,2,,
   04000150,2018,Lumen,Region 3,28206,unprotected well,15,51,male,0,cement,finished,2,,
   04000151,2018,Lumen,Region 4,35289,protected well,44,42,female,1,cement,finished,1,,
   04000152,2018,Lumen,Region 1,84176,piped on premises,996,39,male,1,cement,finished,1,,
   04000153,2018,Lumen,Region 2,-55254,unprotected well,45,40,male,0,dirt,natural,1,,
   04000154,2018,Lumen,Region 3,-4938,unprotected well,31,65,male,1,cement,finished,3,,
   04000155,2018,Lumen,Region 4,-12071,"river, dam, lake, pond, stream, canal or irrigation channel",36,41,male,0,cement,finished,1,,
   04000156,2018,Lumen,Region 1,45390,protected well,14,66,male,1,cement,finished,3,,
   04000157,2018,Lumen,Region 2,89138,unprotected well,13,27,male,0,cement,finished,-99,,
   04000158,2018,Lumen,Region 3,55661,piped on premises,996,39,male,1,cement,finished,2,,
   04000159,2018,Lumen,Region 4,-50709,unprotected well,19,49,male,1,dirt,natural,3,,
   04000160,2018,Lumen,Region 1,23590,public tap,51,37,male,1,cement,finished,2,,
   04000161,2018,Lumen,Region 2,4253,"river, dam, lake, pond, stream, canal or irrigation channel",16,27,male,1,cement,finished,1,,
   04000162,2018,Lumen,Region 3,73866,public tap,18,41,male,1,cement,finished,4,,
   04000163,2018,Lumen,Region 4,46239,piped on premises,996,31,female,1,cement,finished,2,,
   04000164,2018,Lumen,Region 1,-87660,unprotected well,998,36,male,0,dirt,natural,3,,
   04000165,2018,Lumen,Region 2,-69762,piped on premises,996,63,male,0,dirt,natural,0,,
   04000166,2018,Lumen,Region 3,23380,protected well,54,18,male,1,cement,finished,2,,
   04000167,2018,Lumen,Region 4,134097,unprotected well,19,34,male,1,cement,finished,4,,
   04000168,2018,Lumen,Region 1,-59541,"river, dam, lake, pond, stream, canal or irrigation channel",47,49,female,0,dirt,natural,1,,
   04000169,2018,Lumen,Region 2,24812,piped on premises,996,40,female,0,cement,finished,2,,
   04000170,2018,Lumen,Region 3,-31936,piped on premises,996,18,male,0,dirt,finished,2,,
   04000171,2018,Lumen,Region 4,-82520,public tap,37,27,male,0,dirt,natural,1,,
   04000172,2018,Lumen,Region 1,87397,piped on premises,996,41,female,1,cement,finished,2,,
   04000173,2018,Lumen,Region 2,51024,protected well,17,69,male,1,cement,finished,1,,
   04000174,2018,Lumen,Region 3,-47525,"river, dam, lake, pond, stream, canal or irrigation channel",28,66,male,0,dirt,natural,2,,
   04000175,2018,Lumen,Region 4,-204899,"river, dam, lake, pond, stream, canal or irrigation channel",44,78,male,0,dirt,natural,2,,
   04000176,2018,Lumen,Region 1,-99204,piped on premises,996,56,male,0,dirt,natural,1,,
   04000177,2018,Lumen,Region 2,-140734,protected well,41,23,male,0,dirt,natural,1,,
   04000178,2018,Lumen,Region 3,11246,protected well,41,98,male,1,cement,finished,2,,
   04000179,2018,Lumen,Region 4,-34251,piped on premises,996,52,male,0,dirt,finished,0,,
   04000180,2018,Lumen,Region 1,44200,piped on premises,996,86,male,1,cement,finished,5,,
   04000181,2018,Lumen,Region 2,-65796,protected well,9,42,male,0,dirt,natural,1,,
   04000182,2018,Lumen,Region 3,-109687,"river, dam, lake, pond, stream, canal or irrigation channel",44,64,male,0,dirt,natural,4,,
   04000183,2018,Lumen,Region 4,155452,protected well,42,51,male,1,cement,finished,1,,
   04000184,2018,Lumen,Region 1,14712,protected well,27,60,male,0,cement,finished,4,,
   04000185,2018,Lumen,Region 2,-100927,"river, dam, lake, pond, stream, canal or irrigation channel",41,58,male,0,dirt,natural,3,,
   04000186,2018,Lumen,Region 3,112556,protected well,40,51,male,1,cement,finished,2,,
   04000187,2018,Lumen,Region 4,7200,piped on premises,996,61,male,0,cement,finished,2,,
   04000188,2018,Lumen,Region 1,116271,protected well,38,46,male,1,cement,finished,2,,
   04000189,2018,Lumen,Region 2,166809,piped on premises,996,18,male,1,cement,finished,2,,
   04000190,2018,Lumen,Region 3,-76386,"river, dam, lake, pond, stream, canal or irrigation channel",47,68,male,0,dirt,natural,4,,
   04000191,2018,Lumen,Region 4,-40959,piped on premises,996,32,male,0,dirt,finished,2,,
   04000192,2018,Lumen,Region 1,7188,public tap,49,42,male,1,cement,finished,2,,
   04000193,2018,Lumen,Region 2,-37472,public tap,26,38,male,0,dirt,finished,3,,
   04000194,2018,Lumen,Region 3,-5695,protected well,27,25,female,0,cement,finished,2,,
   04000195,2018,Lumen,Region 4,-82628,piped on premises,996,76,male,0,dirt,natural,1,,
   04000196,2018,Lumen,Region 1,-6263,"river, dam, lake, pond, stream, canal or irrigation channel",65,28,male,1,cement,finished,1,,
   04000197,2018,Lumen,Region 2,-25876,protected well,40,33,male,1,cement,finished,3,,
   04000198,2018,Lumen,Region 3,18092,protected well,40,29,male,1,cement,finished,3,,
   04000199,2018,Lumen,Region 4,-45095,piped on premises,996,61,male,0,dirt,natural,3,,
   04000200,2018,Lumen,Region 1,-69034,public tap,41,53,male,0,dirt,natural,3,,
   04000201,2018,Lumen,Region 2,-39132,public tap,,21,male,0,dirt,finished,2,,
   04000202,2018,Lumen,Region 3,-185651,unprotected well,59,52,female,0,dirt,natural,3,,
   04000203,2018,Lumen,Region 4,-32160,protected well,34,62,male,0,dirt,finished,4,,
   04000204,2018,Lumen,Region 1,90826,protected well,15,21,male,1,cement,finished,2,,
   04000205,2018,Lumen,Region 2,-15913,protected well,998,39,male,0,cement,finished,4,,
   04000206,2018,Lumen,Region 3,158856,protected well,46,57,male,1,cement,finished,2,,
   04000207,2018,Lumen,Region 4,73582,public tap,38,67,female,1,cement,finished,3,,
   04000208,2018,Lumen,Region 1,-1253,unprotected well,41,63,male,1,cement,finished,2,,
   04000209,2018,Lumen,Region 2,-17716,"river, dam, lake, pond, stream, canal or irrigation channel",31,35,male,0,cement,finished,2,,
   04000210,2018,Lumen,Region 3,94210,piped on premises,996,45,male,1,cement,finished,3,,
   04000211,2018,Lumen,Region 4,5392,piped on premises,996,77,male,0,cement,finished,1,,
   04000212,2018,Lumen,Region 1,-156713,"river, dam, lake, pond, stream, canal or irrigation channel",35,56,male,0,dirt,natural,3,,
   04000213,2018,Lumen,Region 2,-64053,piped on premises,996,60,male,0,dirt,natural,2,,
   04000214,2018,Lumen,Region 3,183126,protected well,35,34,male,1,cement,finished,2,,
   04000215,2018,Lumen,Region 4,-70617,protected well,31,58,male,0,dirt,natural,4,,
   04000216,2018,Lumen,Region 1,-136955,public tap,42,42,female,0,dirt,natural,3,,
   04000217,2018,Lumen,Region 2,89647,public tap,17,42,male,1,cement,finished,2,,
   04000218,2018,Lumen,Region 3,69027,piped on premises,996,51,male,1,cement,finished,1,,
   04000219,2018,Lumen,Region 4,-78421,unprotected well,28,31,male,0,dirt,natural,2,,
   04000220,2018,Lumen,Region 1,-21371,public tap,29,38,male,0,cement,finished,2,,
   04000221,2018,Lumen,Region 2,83738,piped on premises,996,35,female,1,cement,finished,2,,
   04000222,2018,Lumen,Region 3,-11460,protected well,47,37,male,0,cement,finished,2,,
   04000223,2018,Lumen,Region 4,-83547,unprotected well,36,69,male,0,dirt,natural,3,,
   04000224,2018,Lumen,Region 1,-116984,protected well,47,54,male,0,dirt,natural,3,,
   04000225,2018,Lumen,Region 2,-92243,protected well,28,28,female,0,dirt,natural,2,,
   04000226,2018,Lumen,Region 3,210723,piped on premises,996,74,male,1,dirty,finished,3,,
   04000227,2018,Lumen,Region 4,57523,protected well,41,57,male,1,cement,finished,2,,
   04000228,2018,Lumen,Region 1,-157386,"river, dam, lake, pond, stream, canal or irrigation channel",60,54,male,0,dirt,natural,3,,
   04000229,2018,Lumen,Region 2,-43810,unprotected well,51,27,male,0,dirt,finished,2,,
   04000230,2018,Lumen,Region 3,-45350,unprotected well,36,31,male,0,dirt,natural,2,,
   04000231,2018,Lumen,Region 4,-31121,"river, dam, lake, pond, stream, canal or irrigation channel",21,49,male,0,dirt,finished,3,,
   04000232,2018,Lumen,Region 1,53768,protected well,33,37,male,1,cement,finished,1,,
   04000233,2018,Lumen,Region 2,-70624,protected well,17,84,male,0,dirt,natural,2,,
   04000234,2018,Lumen,Region 3,-45933,protected well,59,58,female,0,dirt,natural,4,,
   04000235,2018,Lumen,Region 4,40069,protected well,46,53,male,1,cement,finished,3,,
   04000236,2018,Lumen,Region 1,53587,public tap,40,44,male,0,cement,finished,3,,
   04000237,2018,Lumen,Region 2,-81851,public tap,23,23,male,0,dirt,natural,3,,
   04000238,2018,Lumen,Region 3,-87178,"river, dam, lake, pond, stream, canal or irrigation channel",27,28,male,0,dirt,natural,2,,
   04000239,2018,Lumen,Region 4,-30516,unprotected well,31,65,male,1,dirt,finished,4,,
   04000240,2018,Lumen,Region 1,87141,protected well,30,39,male,1,cement,finished,3,,
   04000241,2018,Lumen,Region 2,4739,piped on premises,996,78,male,1,cement,finished,2,,
   04000242,2018,Lumen,Region 3,-146989,"river, dam, lake, pond, stream, canal or irrigation channel",15,50,male,0,dirt,natural,2,,
   04000243,2018,Lumen,Region 4,-71124,public tap,33,24,male,0,dirt,natural,1,,
   04000244,2018,Lumen,Region 1,144121,piped on premises,996,36,female,1,cement,finished,3,,
   04000245,2018,Lumen,Region 2,-22472,protected well,2,42,male,1,cement,finished,2,,
   04000246,2018,Lumen,Region 3,29826,public tap,998,67,male,0,cement,finished,3,,
   04000247,2018,Lumen,Region 4,-50265,protected well,39,30,male,0,dirt,natural,1,,
   04000248,2018,Lumen,Region 1,-136450,"river, dam, lake, pond, stream, canal or irrigation channel",54,32,male,0,dirt,natural,1,,
   04000249,2018,Lumen,Region 2,-46425,"river, dam, lake, pond, stream, canal or irrigation channel",29,24,male,0,dirt,natural,4,,
   04000250,2018,Lumen,Region 3,191174,protected well,20,80,male,1,cement,finished,4,,
   04000251,2018,Lumen,Region 4,-1597,piped on premises,996,58,male,0,cement,finished,3,,
   04000252,2018,Lumen,Region 1,-42090,unprotected well,46,48,male,0,dirt,finished,3,,
   04000253,2018,Lumen,Region 2,50167,protected well,31,32,male,1,cement,finished,4,,
   04000254,2018,Lumen,Region 3,132,unprotected well,25,31,female,0,cement,finished,2,,
   04000255,2018,Lumen,Region 4,19280,public tap,26,43,male,0,cement,finished,3,,
   04000256,2018,Lumen,Region 1,64405,protected well,20,27,male,1,cement,finished,1,,
   04000257,2018,Lumen,Region 2,122531,piped on premises,996,31,male,1,cement,finished,3,,
   04000258,2018,Lumen,Region 3,33260,piped on premises,996,47,male,1,cement,finished,4,,
   04000259,2018,Lumen,Region 4,53452,public tap,51,70,male,1,cement,finished,2,,
   04000260,2018,Lumen,Region 1,-64039,public tap,35,18,female,0,dirt,natural,4,,
   04000261,2018,Lumen,Region 2,-68739,unprotected well,30,37,male,0,dirt,natural,2,,
   04000262,2018,Lumen,Region 3,-129871,"river, dam, lake, pond, stream, canal or irrigation channel",24,7,male,0,dirt,natural,2,,
   04000263,2018,Lumen,Region 4,-79897,"river, dam, lake, pond, stream, canal or irrigation channel",14,53,male,0,dirt,natural,1,,
   04000264,2018,Lumen,Region 1,31169,piped on premises,996,55,male,1,cement,finished,1,,
   04000265,2018,Lumen,Region 2,49345,"river, dam, lake, pond, stream, canal or irrigation channel",37,37,female,0,cement,finished,2,,
   04000266,2018,Lumen,Region 3,-25971,protected well,26,35,male,0,cement,finished,3,,
   04000267,2018,Lumen,Region 4,-36336,"river, dam, lake, pond, stream, canal or irrigation channel",19,98,male,0,dirt,finished,1,,
   04000268,2018,Lumen,Region 1,45110,piped on premises,996,72,female,1,cement,finished,2,,
   04000269,2018,Lumen,Region 2,97281,piped on premises,996,40,male,1,cement,finished,2,,
   04000270,2018,Lumen,Region 3,-53239,"river, dam, lake, pond, stream, canal or irrigation channel",49,27,male,1,dirt,natural,2,,
   04000271,2018,Lumen,Region 4,-126214,"river, dam, lake, pond, stream, canal or irrigation channel",11,52,male,0,dirt,natural,0,,
   04000272,2018,Lumen,Region 1,-32944,piped on premises,996,59,male,0,dirt,finished,3,,
   04000273,2018,Lumen,Region 2,93551,piped on premises,996,57,male,1,cement,finished,3,,
   04000274,2018,Lumen,Region 3,-25685,"river, dam, lake, pond, stream, canal or irrigation channel",52,70,female,0,cement,finished,3,,
   04000275,2018,Lumen,Region 4,-68533,unprotected well,40,34,male,0,dirt,natural,2,,
   04000276,2018,Lumen,Region 1,-15254,"river, dam, lake, pond, stream, canal or irrigation channel",26,77,male,0,cement,finished,1,,
   04000277,2018,Lumen,Region 2,28873,unprotected well,21,47,male,0,cement,finished,3,,
   04000278,2018,Lumen,Region 3,-37333,piped on premises,996,75,female,0,dirt,finished,4,,
   04000279,2018,Lumen,Region 4,38950,unprotected well,6,43,male,0,cement,finished,1,,
   04000280,2018,Lumen,Region 1,-150709,public tap,39,50,male,0,dirt,natural,2,,
   04000281,2018,Lumen,Region 2,260577,public tap,22,57,male,1,cement,finished,1,,
   04000282,2018,Lumen,Region 3,54535,unprotected well,46,18,male,1,cement,finished,2,,
   04000283,2018,Lumen,Region 4,24093,protected well,35,32,female,1,cement,finished,2,,
