source_record_key,survey_wave,hhid,year,country,region,positive_rate,sampled_member_count,wealth_index,water_source,water_minutes,head_age,female_head,electricity,poorwater,floor_material,wall_material,bednets
lumen_2014:40,Lumen 2014,01000039,2014,Lumen,Region 4,0.500000,4,-1.330560,"river, dam, lake, pond, stream, canal or irrigation channel",19,45,1,0,1,dirt,natural,1
lumen_2014:41,Lumen 2014,01000040,2014,Lumen,Region 1,0.000000,1,0.153690,public tap,24,30,0,1,0,cement,finished,2
lumen_2014:42,Lumen 2014,01000041,2014,Lumen,Region 2,0.500000,2,-0.896390,piped on premises,,25,0,0,0,dirt,natural,3
lumen_2014:43,Lumen 2014,01000042,2014,Lumen,Region 3,0.333333,3,-1.189400,public tap,18,79,0,0,0,dirt,natural,4
lumen_2014:44,Lumen 2014,01000043,2014,Lumen,Region 4,0.000000,4,0.428980,piped on premises,0,42,0,1,0,cement,finished,3
lumen_2014:45,Lumen 2014,01000044,2014,Lumen,Region 1,0.000000,1,-0.097370,piped on premises,0,69,0,1,0,cement,finished,2
lumen_2014:46,Lumen 2014,01000045,2014,Lumen,Region 2,0.000000,2,-0.315840,public tap,29,47,0,0,0,dirt,finished,2
lumen_2014:47,Lumen 2014,01000046,2014,Lumen,Region 3,0.666667,3,-0.869910,piped on premises,0,33,1,0,0,dirt,natural,2
lumen_2014:48,Lumen 2014,01000047,2014,Lumen,Region 4,0.000000,4,0.706030,piped on premises,0,56,0,1,0,cement,finished,0
lumen_2014:49,Lumen 2014,01000048,2014,Lumen,Region 1,0.000000,1,0.394960,public tap,49,20,0,1,0,cement,finished,2
lumen_2014:50,Lumen 2014,01000049,2014,Lumen,Region 2,0.500000,2,0.022380,protected well,47,57,0,1,0,cement,finished,4
lumen_2014:51,Lumen 2014,01000050,2014,Lumen,Region 3,0.333333,3,0.086310,protected well,24,48,0,1,0,cement,finished,2
lumen_2014:52,Lumen 2014,01000051,2014,Lumen,Region 4,0.500000,4,-0.807540,"river, dam, lake, pond, stream, canal or irrigation channel",37,50,0,0,1,dirt,natural,3
lumen_2014:53,Lumen 2014,01000052,2014,Lumen,Region 1,0.000000,1,-0.741210,public tap,43,65,0,0,0,dirt,natural,1
lumen_2014:54,Lumen 2014,01000053,2014,Lumen,Region 2,0.000000,2,0.549510,public tap,38,56,0,1,0,cement,finished,2
lumen_2014:55,Lumen 2014,01000054,2014,Lumen,Region 3,0.666667,3,-0.686140,protected well,37,58,0,0,0,dirt,natural,2
lumen_2014:56,Lumen 2014,01000055,2014,Lumen,Region 4,0.500000,4,1.101450,unprotected well,39,46,0,1,1,cement,finished,3
lumen_2014:57,Lumen 2014,01000056,2014,Lumen,Region 1,0.000000,1,-0.087940,protected well,39,52,0,1,0,cement,finished,2
lumen_2014:58,Lumen 2014,01000057,2014,Lumen,Region 2,1.000000,2,-1.126790,protected well,17,29,0,0,0,dirt,natural,1
lumen_2014:59,Lumen 2014,01000058,2014,Lumen,Region 3,0.666667,3,-1.199380,public tap,46,29,0,0,0,dirt,natural,1
lumen_2014:60,Lumen 2014,01000059,2014,Lumen,Region 4,0.250000,4,0.553460,public tap,32,34,0,1,0,cement,finished,4
lumen_2014:61,Lumen 2014,01000060,2014,Lumen,Region 1,1.000000,1,-1.623120,public tap,18,59,1,0,0,dirt,natural,2
lumen_2014:62,Lumen 2014,01000061,2014,Lumen,Region 2,0.500000,2,-0.404450,protected well,16,40,0,0,0,dirt,finished,3
lumen_2014:63,Lumen 2014,01000062,2014,Lumen,Region 3,1.000000,3,-0.240370,"river, dam, lake, pond, stream, canal or irrigation channel",29,44,0,1,1,cement,finished,2
lumen_2014:64,Lumen 2014,01000063,2014,Lumen,Region 4,0.000000,4,1.765140,public tap,33,30,0,1,0,cement,finished,2
lumen_2014:65,Lumen 2014,01000064,2014,Lumen,Region 1,0.000000,1,-0.879340,public tap,37,69,1,0,0,dirt,natural,2
lumen_2014:66,Lumen 2014,01000065,2014,Lumen,Region 2,0.500000,2,-0.204970,unprotected well,28,26,0,0,1,cement,finished,0
lumen_2014:67,Lumen 2014,01000066,2014,Lumen,Region 3,0.666667,3,-0.504260,"river, dam, lake, pond, stream, canal or irrigation channel",44,25,1,1,1,dirt,natural,2
lumen_2014:68,Lumen 2014,01000067,2014,Lumen,Region 4,0.750000,4,-1.496020,public tap,,34,0,0,0,dirt,natural,1
lumen_2014:69,Lumen 2014,01000068,2014,Lumen,Region 1,1.000000,1,-1.976490,unprotected well,50,61,0,0,1,dirt,natural,1
lumen_2014:70,Lumen 2014,01000069,2014,Lumen,Region 2,0.500000,2,-1.151380,"river, dam, lake, pond, stream, canal or irrigation channel",55,49,1,0,1,dirt,natural,2
lumen_2014:71,Lumen 2014,01000070,2014,Lumen,Region 3,0.000000,3,1.142050,protected well,28,67,0,1,0,cement,finished,2
lumen_2014:72,Lumen 2014,01000071,2014,Lumen,Region 4,0.500000,4,-0.792210,protected well,55,49,0,0,0,dirt,natural,1
lumen_2014:73,Lumen 2014,01000072,2014,Lumen,Region 1,1.000000,1,-0.198210,unprotected well,25,39,0,1,1,cement,finished,2
lumen_2014:74,Lumen 2014,01000073,2014,Lumen,Region 2,1.000000,2,-1.178480,public tap,23,20,1,0,0,dirt,natural,3
lumen_2014:75,Lumen 2014,01000074,2014,Lumen,Region 3,0.000000,3,-0.556440,unprotected well,47,39,0,0,1,dirt,natural,3
lumen_2014:76,Lumen 2014,01000075,2014,Lumen,Region 4,0.500000,4,0.105440,unprotected well,23,56,1,0,1,cement,finished,3
lumen_2014:77,Lumen 2014,01000076,2014,Lumen,Region 1,0.000000,1,0.555240,piped on premises,0,55,1,1,0,cement,finished,3
lumen_2014:78,Lumen 2014,01000077,2014,Lumen,Region 2,0.500000,2,-1.088420,protected well,7,42,0,0,0,dirt,natural,4
lumen_2014:79,Lumen 2014,01000078,2014,Lumen,Region 3,0.000000,3,0.928050,public tap,37,47,0,1,0,cement,finished,2
lumen_2014:80,Lumen 2014,01000079,2014,Lumen,Region 4,0.500000,4,-1.163310,protected well,49,55,0,0,0,dirt,natural,2
lumen_2014:81,Lumen 2014,01000080,2014,Lumen,Region 1,1.000000,1,0.717500,piped on premises,0,24,0,1,0,cement,finished,2
lumen_2014:82,Lumen 2014,01000081,2014,Lumen,Region 2,0.000000,2,0.748190,protected well,33,53,0,1,0,cement,finished,2
lumen_2014:83,Lumen 2014,01000082,2014,Lumen,Region 3,1.000000,3,-0.054130,public tap,,35,0,0,0,cement,finished,3
lumen_2014:84,Lumen 2014,01000083,2014,Lumen,Region 4,0.000000,4,0.817280,public tap,1,55,0,1,0,cement,finished,1
lumen_2014:85,Lumen 2014,01000084,2014,Lumen,Region 1,0.000000,1,-1.618330,unprotected well,25,43,0,0,1,dirt,natural,2
lumen_2014:86,Lumen 2014,01000085,2014,Lumen,Region 2,0.000000,2,-0.630720,public tap,51,38,0,0,0,dirt,natural,3
lumen_2014:87,Lumen 2014,01000086,2014,Lumen,Region 3,0.333333,3,0.034010,"river, dam, lake, pond, stream, canal or irrigation channel",32,47,1,1,1,cement,finished,3
lumen_2014:88,Lumen 2014,01000087,2014,Lumen,Region 4,0.750000,4,-2.377330,protected well,32,66,0,0,0,dirt,natural,2
lumen_2014:89,Lumen 2014,01000088,2014,Lumen,Region 1,1.000000,1,0.760260,protected well,16,68,0,1,0,cement,finished,1
lumen_2014:90,Lumen 2014,01000089,2014,Lumen,Region 2,0.000000,2,0.138330,public tap,34,,1,1,0,cement,finished,0
lumen_2014:91,Lumen 2014,01000090,2014,Lumen,Region 3,0.333333,3,-0.702190,"river, dam, lake, pond, stream, canal or irrigation channel",25,45,0,0,1,dirt,natural,3
lumen_2014:92,Lumen 2014,01000091,2014,Lumen,Region 4,0.000000,4,1.941930,public tap,26,50,0,1,0,cement,finished,4
lumen_2014:93,Lumen 2014,01000092,2014,Lumen,Region 1,1.000000,1,-1.273340,unprotected well,53,64,1,0,1,dirt,natural,3
lumen_2014:94,Lumen 2014,01000093,2014,Lumen,Region 2,0.500000,2,0.630640,"river, dam, lake, pond, stream, canal or irrigation channel",23,35,0,1,1,cement,finished,2
lumen_2014:95,Lumen 2014,01000094,2014,Lumen,Region 3,0.000000,3,0.291010,piped on premises,0,28,0,1,0,cement,finished,3
lumen_2014:96,Lumen 2014,01000095,2014,Lumen,Region 4,0.500000,4,-1.360980,"river, dam, lake, pond, stream, canal or irrigation channel",41,25,0,0,1,dirt,natural,2
lumen_2014:97,Lumen 2014,01000096,2014,Lumen,Region 1,1.000000,1,0.682120,piped on premises,0,27,0,1,0,cement,finished,3
lumen_2014:98,Lumen 2014,01000097,2014,Lumen,Region 2,0.500000,2,0.232630,unprotected well,23,48,0,1,1,cement,finished,2
lumen_2014:99,Lumen 2014,01000098,2014,Lumen,Region 3,0.333333,3,-1.080360,public tap,25,79,0,0,0,dirt,natural,2
lumen_2014:100,Lumen 2014,01000099,2014,Lumen,Region 4,0.250000,4,-0.916600,"river, dam, lake, pond, stream, canal or irrigation channel",39,56,0,0,1,dirt,natural,2
lumen_2014:101,Lumen 2014,01000100,2014,Lumen,Region 1,0.000000,1,0.536570,piped on premises,0,56,0,1,0,cement,finished,3
lumen_2014:102,Lumen 2014,01000101,2014,Lumen,Region 2,0.000000,2,-0.697170,protected well,19,49,0,0,0,dirt,natural,1
lumen_2014:103,Lumen 2014,01000102,2014,Lumen,Region 3,0.333333,3,-0.270680,unprotected well,39,49,0,1,1,cement,finished,0
lumen_2014:104,Lumen 2014,01000103,2014,Lumen,Region 4,0.250000,4,0.653840,piped on premises,0,73,0,0,0,cement,finished,3
lumen_2014:105,Lumen 2014,01000104,2014,Lumen,Region 1,0.000000,1,0.383390,piped on premises,0,53,0,1,0,cement,finished,2
lumen_2014:106,Lumen 2014,01000105,2014,Lumen,Region 2,1.000000,2,0.001450,piped on premises,0,60,0,0,0,cement,finished,3
lumen_2014:107,Lumen 2014,01000106,2014,Lumen,Region 3,0.666667,3,-1.953060,"river, dam, lake, pond, stream, canal or irrigation channel",36,55,0,0,1,dirt,natural,3
lumen_2014:108,Lumen 2014,01000107,2014,Lumen,Region 4,1.000000,4,-0.006060,"river, dam, lake, pond, stream, canal or irrigation channel",35,66,0,1,1,cement,finished,1
lumen_2014:109,Lumen 2014,01000108,2014,Lumen,Region 1,1.000000,1,-0.626360,"river, dam, lake, pond, stream, canal or irrigation channel",27,62,0,0,1,dirt,natural,0
lumen_2014:110,Lumen 2014,01000109,2014,Lumen,Region 2,0.500000,2,-0.615680,"river, dam, lake, pond, stream, canal or irrigation channel",15,45,0,0,1,dirt,natural,2
lumen_2014:111,Lumen 2014,01000110,2014,Lumen,Region 3,0.333333,3,-1.429220,"river, dam, lake, pond, stream, canal or irrigation channel",34,50,0,0,1,dirt,natural,1
lumen_2014:112,Lumen 2014,01000111,2014,Lumen,Region 4,0.000000,4,-0.220280,protected well,20,48,0,0,0,cement,finished,2
lumen_2014:113,Lumen 2014,01000112,2014,Lumen,Region 1,0.000000,1,0.791340,protected well,31,57,0,1,0,cement,finished,3
lumen_2014:114,Lumen 2014,01000113,2014,Lumen,Region 2,0.000000,2,-1.298760,"river, dam, lake, pond, stream, canal or irrigation channel",25,42,0,0,1,dirt,natural,3
lumen_2014:115,Lumen 2014,01000114,2014,Lumen,Region 3,0.666667,3,-0.545680,"river, dam, lake, pond, stream, canal or irrigation channel",40,43,0,1,1,dirt,natural,4
lumen_2014:116,Lumen 2014,01000115,2014,Lumen,Region 4,0.500000,4,-0.865290,piped on premises,0,68,0,0,0,dirt,natural,1
lumen_2014:117,Lumen 2014,01000116,2014,Lumen,Region 1,1.000000,1,-1.791020,protected well,21,59,0,0,0,dirt,natural,1
lumen_2014:118,Lumen 2014,01000117,2014,Lumen,Region 2,0.000000,2,-0.314850,unprotected well,51,32,0,0,1,dirt,finished,2
lumen_2014:119,Lumen 2014,01000118,2014,Lumen,Region 3,0.333333,3,-0.289450,"river, dam, lake, pond, stream, canal or irrigation channel",39,78,0,0,1,cement,finished,2
lumen_2014:120,Lumen 2014,01000119,2014,Lumen,Region 4,0.500000,4,-1.385560,protected well,9,44,0,0,0,dirt,natural,3
lumen_2014:121,Lumen 2014,01000120,2014,Lumen,Region 1,0.000000,1,0.507000,piped on premises,0,37,0,0,0,cement,finished,3
lumen_2014:122,Lumen 2014,01000121,2014,Lumen,Region 2,0.500000,2,0.099870,protected well,18,55,0,0,0,cement,finished,2
lumen_2014:123,Lumen 2014,01000122,2014,Lumen,Region 3,0.333333,3,-1.801860,protected well,47,52,0,0,0,dirt,natural,4
lumen_2014:124,Lumen 2014,01000123,2014,Lumen,Region 4,0.750000,4,-0.893500,protected well,,52,0,0,0,dirt,natural,3
lumen_2014:125,Lumen 2014,01000124,2014,Lumen,Region 1,1.000000,1,-0.130120,piped on premises,0,52,0,1,0,cement,finished,3
lumen_2014:126,Lumen 2014,01000125,2014,Lumen,Region 2,0.500000,2,-0.250560,public tap,30,74,0,0,0,cement,finished,2
lumen_2014:127,Lumen 2014,01000126,2014,Lumen,Region 3,0.000000,3,-0.361100,protected well,4,64,0,0,0,dirt,finished,3
lumen_2014:128,Lumen 2014,01000127,2014,Lumen,Region 4,0.250000,4,0.513310,"river, dam, lake, pond, stream, canal or irrigation channel",18,53,0,1,1,cement,finished,3
lumen_2014:129,Lumen 2014,01000128,2014,Lumen,Region 1,0.000000,1,0.416710,piped on premises,0,47,0,0,0,cement,finished,3
lumen_2014:130,Lumen 2014,01000129,2014,Lumen,Region 2,0.000000,2,0.480420,protected well,23,28,0,1,0,cement,finished,2
lumen_2014:131,Lumen 2014,01000130,2014,Lumen,Region 3,0.333333,3,0.197220,"river, dam, lake, pond, stream, canal or irrigation channel",29,59,0,1,1,cement,finished,1
lumen_2014:132,Lumen 2014,01000131,2014,Lumen,Region 4,0.500000,4,-0.567950,public tap,29,,0,0,0,dirt,natural,2
lumen_2014:133,Lumen 2014,01000132,2014,Lumen,Region 1,0.000000,1,0.041460,protected well,21,46,0,1,0,cement,finished,2
lumen_2014:134,Lumen 2014,01000133,2014,Lumen,Region 2,0.500000,2,-1.438010,public tap,27,50,0,0,0,dirt,natural,1
lumen_2014:135,Lumen 2014,01000134,2014,Lumen,Region 3,0.666667,3,-1.399770,public tap,,36,0,0,0,dirt,natural,2
lumen_2014:136,Lumen 2014,01000135,2014,Lumen,Region 4,0.250000,4,-0.122800,piped on premises,0,40,0,0,0,cement,finished,1
lumen_2014:137,Lumen 2014,01000136,2014,Lumen,Region 1,0.000000,1,-1.064400,protected well,44,37,0,0,0,dirt,natural,2
lumen_2014:138,Lumen 2014,01000137,2014,Lumen,Region 2,0.000000,2,1.738910,public tap,12,59,0,1,0,cement,finished,3
lumen_2014:139,Lumen 2014,01000138,2014,Lumen,Region 3,0.666667,3,-1.240040,protected well,60,40,1,0,0,dirt,natural,2
lumen_2014:140,Lumen 2014,01000139,2014,Lumen,Region 4,0.500000,4,-2.008480,"river, dam, lake, pond, stream, canal or irrigation channel",31,60,0,0,1,dirt,natural,2
lumen_2014:141,Lumen 2014,01000140,2014,Lumen,Region 1,0.000000,1,-0.941880,"river, dam, lake, pond, stream, canal or irrigation channel",44,31,0,0,1,dirt,natural,2
lumen_2014:142,Lumen 2014,01000141,2014,Lumen,Region 2,0.000000,2,-1.449480,unprotected well,7,48,0,0,1,dirt,natural,3
lumen_2014:143,Lumen 2014,01000142,2014,Lumen,Region 3,0.333333,3,0.302700,protected well,24,49,1,1,0,cement,finished,2
lumen_2014:144,Lumen 2014,01000143,2014,Lumen,Region 4,0.750000,4,-0.799870,unprotected well,58,46,0,0,1,dirt,natural,2
lumen_2014:145,Lumen 2014,01000144,2014,Lumen,Region 1,1.000000,1,-0.527070,public tap,12,34,0,0,0,dirt,natural,3
lumen_2014:146,Lumen 2014,01000145,2014,Lumen,Region 2,0.000000,2,-0.019520,piped on premises,0,47,0,1,0,cement,finished,2
lumen_2014:147,Lumen 2014,01000146,2014,Lumen,Region 3,0.000000,3,-0.203480,public tap,16,35,0,1,0,cement,finished,1
lumen_2014:148,Lumen 2014,01000147,2014,Lumen,Region 4,0.250000,4,0.131930,protected well,17,48,0,0,0,cement,finished,4
lumen_2014:149,Lumen 2014,01000148,2014,Lumen,Region 1,1.000000,1,-2.080050,"river, dam, lake, pond, stream, canal or irrigation channel",38,32,0,0,1,dirt,natural,2
lumen_2014:150,Lumen 2014,01000149,2014,Lumen,Region 2,0.000000,2,0.594310,protected well,17,58,0,1,0,cement,finished,3
lumen_2014:151,Lumen 2014,01000150,2014,Lumen,Region 3,0.666667,3,-0.662650,public tap,35,43,0,1,0,dirt,natural,2
lumen_2014:152,Lumen 2014,01000151,2014,Lumen,Region 4,0.250000,4,-0.624960,"river, dam, lake, pond, stream, canal or irrigation channel",33,23,0,0,1,dirt,natural,2
lumen_2014:153,Lumen 2014,01000152,2014,Lumen,Region 1,0.000000,1,-0.393260,protected well,46,40,0,1,0,dirt,finished,1
lumen_2014:154,Lumen 2014,01000153,2014,Lumen,Region 2,0.000000,2,1.081710,unprotected well,25,36,0,1,1,cement,finished,3
lumen_2014:155,Lumen 2014,01000154,2014,Lumen,Region 3,0.333333,3,-0.285830,unprotected well,50,38,0,0,1,cement,finished,5
lumen_2014:156,Lumen 2014,01000155,2014,Lumen,Region 4,0.250000,4,-0.342520,protected well,43,54,0,0,0,dirt,finished,3
lumen_2014:157,Lumen 2014,01000156,2014,Lumen,Region 1,0.000000,1,1.033870,piped on premises,0,49,0,1,0,cement,finished,1
lumen_2014:158,Lumen 2014,01000157,2014,Lumen,Region 2,0.000000,2,-1.028350,"river, dam, lake, pond, stream, canal or irrigation channel",50,60,1,0,1,dirt,natural,
lumen_2014:159,Lumen 2014,01000158,2014,Lumen,Region 3,0.000000,3,0.576650,protected well,31,27,0,1,0,cement,finished,3
lumen_2014:160,Lumen 2014,01000159,2014,Lumen,Region 4,0.250000,4,1.053990,piped on premises,0,48,0,1,0,cement,finished,2
lumen_2014:161,Lumen 2014,01000160,2014,Lumen,Region 1,1.000000,1,-1.964880,unprotected well,34,45,0,0,1,dirt,natural,2
lumen_2014:162,Lumen 2014,01000161,2014,Lumen,Region 2,0.500000,2,-0.067090,unprotected well,31,64,0,0,1,cement,finished,0
lumen_2014:163,Lumen 2014,01000162,2014,Lumen,Region 3,0.000000,3,0.677740,piped on premises,0,52,0,0,0,cement,finished,3
lumen_2014:164,Lumen 2014,01000163,2014,Lumen,Region 4,0.000000,4,-0.662110,public tap,31,73,0,0,0,dirt,natural,2
lumen_2014:165,Lumen 2014,01000164,2014,Lumen,Region 1,0.000000,1,-0.580890,"river, dam, lake, pond, stream, canal or irrigation channel",,35,0,0,1,dirt,natural,2
lumen_2014:166,Lumen 2014,01000165,2014,Lumen,Region 2,0.000000,2,0.279050,public tap,40,52,0,1,0,cement,finished,2
lumen_2014:167,Lumen 2014,01000166,2014,Lumen,Region 3,0.000000,3,0.926500,protected well,31,63,0,1,0,cement,finished,3
lumen_2014:168,Lumen 2014,01000167,2014,Lumen,Region 4,0.500000,4,-1.190820,"river, dam, lake, pond, stream, canal or irrigation channel",37,46,1,0,1,dirt,natural,1
lumen_2014:169,Lumen 2014,01000168,2014,Lumen,Region 1,0.000000,1,-0.295620,piped on premises,0,58,0,0,0,cement,finished,2
lumen_2014:170,Lumen 2014,01000169,2014,Lumen,Region 2,0.500000,2,0.564930,piped on premises,0,65,0,1,0,cement,finished,1
lumen_2014:171,Lumen 2014,01000170,2014,Lumen,Region 3,0.333333,3,0.523540,"river, dam, lake, pond, stream, canal or irrigation channel",21,49,1,0,1,cement,finished,3
lumen_2014:172,Lumen 2014,01000171,2014,Lumen,Region 4,0.000000,4,1.681820,unprotected well,27,23,0,1,1,cement,finished,1
lumen_2014:173,Lumen 2014,01000172,2014,Lumen,Region 1,1.000000,1,-0.034940,"river, dam, lake, pond, stream, canal or irrigation channel",19,46,0,1,1,cement,finished,0
lumen_2014:174,Lumen 2014,01000173,2014,Lumen,Region 2,1.000000,2,-0.817480,public tap,37,30,0,0,0,dirt,natural,3
lumen_2014:175,Lumen 2014,01000174,2014,Lumen,Region 3,0.333333,3,0.194240,unprotected well,36,30,0,1,1,cement,finished,2
lumen_2014:176,Lumen 2014,01000175,2014,Lumen,Region 4,0.750000,4,-0.783800,public tap,29,81,0,0,0,dirt,natural,2
lumen_2014:177,Lumen 2014,01000176,2014,Lumen,Region 1,1.000000,1,0.732470,public tap,28,56,0,1,0,cement,finished,3
lumen_2014:178,Lumen 2014,01000177,2014,Lumen,Region 2,0.000000,2,2.140390,piped on premises,0,86,1,1,0,cement,finished,2
lumen_2014:179,Lumen 2014,01000178,2014,Lumen,Region 3,0.333333,3,0.841040,unprotected well,41,,0,1,1,cement,finished,2
lumen_2014:180,Lumen 2014,01000179,2014,Lumen,Region 4,0.250000,4,0.122240,protected well,22,51,0,0,0,cement,finished,2
lumen_2014:181,Lumen 2014,01000180,2014,Lumen,Region 1,1.000000,1,-2.170870,"river, dam, lake, pond, stream, canal or irrigation channel",36,32,1,0,1,dirt,natural,2
lumen_2014:182,Lumen 2014,01000181,2014,Lumen,Region 2,0.500000,2,-0.907390,"river, dam, lake, pond, stream, canal or irrigation channel",24,50,0,0,1,dirt,natural,2
lumen_2014:183,Lumen 2014,01000182,2014,Lumen,Region 3,0.000000,3,-0.241740,unprotected well,33,60,1,0,1,cement,finished,2
lumen_2014:184,Lumen 2014,01000183,2014,Lumen,Region 4,0.250000,4,0.440210,unprotected well,35,44,0,1,1,cement,finished,3
lumen_2014:185,Lumen 2014,01000184,2014,Lumen,Region 1,1.000000,1,-0.919690,"river, dam, lake, pond, stream, canal or irrigation channel",36,27,0,0,1,dirt,natural,1
lumen_2014:186,Lumen 2014,01000185,2014,Lumen,Region 2,0.500000,2,-1.046240,"river, dam, lake, pond, stream, canal or irrigation channel",41,42,0,0,1,dirt,natural,2
